eId,vId,name,age,city,grade,status
1,1,TX,14,Changsha,HighSchool,Single
1,2,TX,17,Changsha,HighSchool,Single
1,3,TX,20,Changsha,HighSchool,Single
1,4,TX,21,Changsha,HighSchool,Single
1,5,TX,23,Changsha,HighSchool,Divorced
1,6,TX,25,Changsha,HighSchool,Single
1,7,TX,27,Changsha,HighSchool,Single
1,8,TX,29,Changsha,HighSchool,Single
1,9,TX,31,Changsha,Bachelor,Single
1,10,TX,33,Changsha,Bachelor,Single
1,11,TX,35,Hefei,Bachelor,Single
1,12,TX,37,Hefei,Bachelor,Married
1,13,TX,39,Hefei,Bachelor,Married
1,14,TX,41,Hefei,Bachelor,Married
1,15,TX,43,Hefei,Bachelor,Married
1,16,TX,45,Hefei,Bachelor,Married
1,17,TX,47,Hefei,Bachelor,Married
1,18,TX,49,Boston,Bachelor,Single
1,19,TX,51,Boston,Bachelor,Married
1,20,TX,53,Boston,Bachelor,Married
1,21,TX,55,Boston,Bachelor,Married
1,22,TX,57,Boston,Bachelor,Remarried
1,23,TX,59,Boston,Bachelor,Married
1,24,TX,61,Boston,PHD,Married
1,25,TX,63,Boston,PHD,Divorced
1,26,TX,65,Boston,PHD,Divorced
1,27,TX,67,Boston,PHD,Divorced
1,28,TX,69,Boston,PHD,Married
1,29,TX,71,Boston,PHD,Divorced
1,30,TX,73,Shenzhen,PHD,Divorced
1,31,TX,75,Shenzhen,PHD,Remarried
1,32,TX,77,Shenzhen,PHD,Remarried
1,33,TX,79,Shenzhen,PHD,Remarried
1,34,TX,81,Shenzhen,Graduate,Married
1,35,TX,83,Shenzhen,Graduate,Remarried
1,36,TX,85,Shenzhen,Graduate,Remarried
1,37,TX,87,Shenzhen,Graduate,Remarried
1,38,TX,89,Shenzhen,Graduate,Remarried
1,39,TX,91,Shenzhen,Graduate,Remarried
1,40,TX,93,Shenzhen,Graduate,Remarried
